date,ontario_demand_avg_mw,ontario_demand_peak_mw,ontario_demand_min_mw,ontario_demand_std_mw,market_demand_avg_mw,ontario_peak_hour,demand_range_mw
2025-01-01,15330.791666666666,17519,13593,1328.2806467193868,18650.375,18,3926
2025-01-02,16812.875,19450,13903,1849.0236745139418,20475.666666666668,18,5547
2025-01-03,17533.166666666668,19616,15284,1379.5820308014127,20805.25,18,4332
2025-01-04,17514.041666666668,19983,15433,1434.6955586515535,20919.791666666668,18,4550
2025-01-05,17665.125,20626,15397,1647.2671257861152,21117.583333333332,18,5229
2025-01-06,18825.25,21159,15875,1794.8305055013598,21932.25,18,5284
2025-01-07,18650.541666666668,21339,16060,1608.9212151156685,22173.333333333332,18,5279
2025-01-08,19047.75,21534,16423,1602.7344636182145,21384.333333333332,18,5111
2025-01-09,18918.125,21232,16713,1446.0175990419798,21172.416666666668,18,4519
2025-01-10,18856.083333333332,20755,16670,1329.538295691457,21408.833333333332,18,4085
2025-01-11,17672.375,19380,16044,1110.6488825085032,20250.666666666668,18,3336
2025-01-12,17100.625,19509,15223,1368.9655508258143,19837.708333333332,18,4286
2025-01-13,18042.541666666668,20376,14929,1834.4173338447686,21018.5,18,5447
2025-01-14,18603.083333333332,20685,15695,1713.0618130593887,21552.541666666668,18,4990
2025-01-15,18736.541666666668,20834,16081,1635.7454883129674,21622.625,18,4753
2025-01-16,18778.875,21037,15882,1790.7533831736368,21467.5,18,5155
2025-01-17,17806.083333333332,19632,15744,1302.4965965629133,20344.416666666668,18,3888
2025-01-18,17144.916666666668,19341,14524,1628.9841570923802,19842.125,19,4817
2025-01-19,18024.75,20828,15803,1624.4181366288349,20393.291666666668,18,5025
2025-01-20,19369.083333333332,21701,16590,1606.2570836701634,23251.333333333332,19,5111
2025-01-21,19595.25,21602,17399,1371.3884823656701,23420.458333333332,18,4203
2025-01-22,19914.958333333332,21940,17706,1391.2071854943135,23743.666666666668,18,4234
2025-01-23,19419.791666666668,21064,17191,1347.530881445496,22991.125,19,3873
2025-01-24,19188.375,21117,16782,1445.4231158023056,21764.041666666668,18,4335
2025-01-25,17890.333333333332,19600,16251,1111.8570703681007,20890.75,18,3349
2025-01-26,16976.375,19837,15063,1420.9433122891037,19571.791666666668,19,4774
2025-01-27,17806.791666666668,20384,15259,1602.1859789774364,20478.666666666668,19,5125
2025-01-28,18549.25,20957,15831,1685.414495528957,20886.583333333332,18,5126
2025-01-29,18405.458333333332,20862,15577,1702.3759606009132,21016.208333333332,19,5285
2025-01-30,18821.25,20333,16934,1247.9370890637372,21634.958333333332,18,3399
2025-01-31,18142.541666666668,19617,15805,1403.5121467285173,20894.958333333332,18,3812
2025-02-01,18119.291666666668,20377,16135,1262.2036106390076,20479.666666666668,19,4242
2025-02-02,18299.958333333332,20650,16214,1463.7622900138763,20899.958333333332,18,4436
2025-02-03,18624.291666666668,20176,16031,1559.3988384370568,20941.875,12,4145
2025-02-04,18462.083333333332,20761,15709,1640.4414813162903,20450.333333333332,19,5052
2025-02-05,18893.25,20829,16682,1348.4131494980054,21436.666666666668,19,4147
2025-02-06,18950.541666666668,20664,16445,1552.846474092481,21376.625,11,4219
2025-02-07,18353.875,20480,16042,1403.0207569972779,20791.833333333332,19,4438
2025-02-08,17844.125,19589,16034,1155.905265882829,19771.875,19,3555
2025-02-09,17540.541666666668,19986,15606,1337.363889187027,19917.25,19,4380
2025-02-10,18516.541666666668,20923,15875,1633.863146287687,20594.708333333332,19,5048
2025-02-11,18483.125,20513,16032,1442.9988493924152,20554.833333333332,19,4481
2025-02-12,18917.958333333332,21036,16534,1463.3990652844348,22070.5,19,4502
2025-02-13,18647.541666666668,20207,16720,1237.667756891676,21033.958333333332,19,3487
2025-02-14,18571.375,20394,16428,1262.3593442956092,20882.833333333332,19,3966
2025-02-15,17929.291666666668,19835,16087,1271.6360731499524,20062.75,19,3748
2025-02-16,17766.208333333332,19701,15603,1490.6520306393695,20249.625,19,4098
2025-02-17,17671.041666666668,19971,15699,1355.4405181299594,20773.041666666668,19,4272
2025-02-18,19045.166666666668,21272,16482,1483.9102769860879,22184.666666666668,19,4790
2025-02-19,19225.375,21302,17120,1337.400977642832,21880.5,19,4182
2025-02-20,18936.333333333332,20709,16881,1284.0290416147704,21061.5,20,3828
2025-02-21,18609.333333333332,20348,16685,1237.3218858790776,20873.208333333332,19,3663
2025-02-22,17400.166666666668,19220,15798,994.6175872804265,20182.583333333332,19,3422
2025-02-23,17121.166666666668,19291,15381,1228.1116174548365,19476.958333333332,19,3910
2025-02-24,16998.375,18840,14786,1320.5609747540925,19620.958333333332,19,4054
2025-02-25,16947.291666666668,18937,14509,1402.518711931802,19175.5,20,4428
2025-02-26,16912.125,18956,14853,1258.235352025588,18561.125,19,4103
2025-02-27,17444.083333333332,19112,15037,1394.8700084881432,19420.416666666668,18,4075
2025-02-28,17316.458333333332,19089,15246,1193.2856715139835,19323.25,19,3843
2025-03-01,17055.291666666668,19773,14718,1454.647678220956,19503.791666666668,19,5055
2025-03-02,17803.583333333332,20301,16306,1215.6373857459237,19891.041666666668,19,3995
2025-03-03,17686.208333333332,19665,15982,1197.970348009559,19940.291666666668,19,3683
2025-03-04,17448.166666666668,19596,15081,1395.4706442059548,19294.583333333332,18,4515
2025-03-05,16677.416666666668,18238,14479,1294.232151632327,18454.375,18,3759
2025-03-06,17231.625,19692,14232,1768.8476920324983,19232.666666666668,19,5460
2025-03-07,16926.291666666668,18863,15355,1062.0605271856205,18832.583333333332,19,3508
2025-03-08,16141.625,18235,14981,898.3854025537923,18162.958333333332,19,3254
2025-03-09,15455.125,17161,14472,830.3002763537073,17330.5,19,2689
2025-03-10,15710.416666666666,17677,13813,1188.9351800324698,17651.916666666668,8,3864
2025-03-11,15518.333333333334,18023,13673,1255.3992840203623,17685.875,20,4350
2025-03-12,16762.875,18597,14827,1154.294526219748,18398.583333333332,19,3770
2025-03-13,16290.875,18083,14948,1048.9261304657796,17839.833333333332,8,3135
2025-03-14,15457.708333333334,16823,13969,849.4343119761048,17261.166666666668,7,2854
2025-03-15,14702.041666666666,16097,13234,979.5470328130009,17496.041666666668,11,2863
2025-03-16,14596.916666666666,16649,12437,1362.1139873346701,17414.666666666668,19,4212
2025-03-17,16141.375,18403,13617,1485.5142810985783,18004.125,20,4786
2025-03-18,15472.166666666666,17261,13706,1083.8019900439326,17296.916666666668,7,3555
2025-03-19,14930.541666666666,16660,13098,1187.5984162116442,16819.75,20,3562
2025-03-20,15624.416666666666,17895,12623,1677.5155780179073,17862.208333333332,19,5272
2025-03-21,15502.458333333334,17477,14244,1035.7200385183273,17577.541666666668,7,3233
2025-03-22,15556.458333333334,17538,13303,1309.9123428743214,17684.833333333332,20,4235
2025-03-23,15589.208333333334,17747,14412,980.1149435327641,17090.708333333332,19,3335
2025-03-24,16677.291666666668,18184,14278,1414.1670610112778,19216.541666666668,20,3906
2025-03-25,16669.416666666668,18578,14268,1370.9285623942644,18731.625,19,4310
2025-03-26,16471.0,18517,14539,1217.6968281215939,18202.875,20,3978
2025-03-27,15884.125,17902,14590,1083.3971656222197,17930.375,7,3312
2025-03-28,16518.75,18022,14247,1327.5577200257621,18201.75,19,3775
2025-03-29,16193.625,17791,14099,1351.1318222464292,17904.208333333332,19,3692
2025-03-30,15280.75,16521,13626,1059.7001729365427,17556.458333333332,17,2895
2025-03-31,15558.583333333334,17511,12761,1525.201224547868,18294.625,20,4750
2025-04-01,15656.708333333334,17846,14012,1083.4229363724824,17389.875,20,3834
2025-04-02,16920.708333333332,19492,14014,1740.6859836973983,18721.666666666668,17,5478
2025-04-03,15444.541666666666,16951,14195,921.8945511314171,17803.125,20,2756
2025-04-04,15011.25,16611,13626,967.9883780294055,16945.791666666668,20,2985
2025-04-05,15080.083333333334,16775,12739,1441.3619741687753,17071.291666666668,11,4036
2025-04-06,14526.583333333334,16931,12881,1184.7437777176028,16777.916666666668,20,4050
2025-04-07,15603.5,17634,13626,1148.73843846195,18384.666666666668,20,4008
2025-04-08,16408.125,18478,14095,1318.6465496205135,18664.875,20,4383
2025-04-09,16212.958333333334,17827,14843,917.9031624194951,17745.0,7,2984
2025-04-10,16425.25,18157,14221,1236.5603503266632,18103.833333333332,20,3936
2025-04-11,16223.5,17622,14367,1082.6967137259833,17917.041666666668,8,3255
2025-04-12,14850.125,16031,13698,773.2290460198035,17018.291666666668,9,2333
2025-04-13,14013.875,16034,13193,828.7022495916494,16405.25,20,2841
2025-04-14,14794.958333333334,16376,12642,1153.8868333919763,18028.541666666668,20,3734
2025-04-15,15260.208333333334,17432,12736,1427.4554429706966,18392.708333333332,20,4696
2025-04-16,15903.625,17651,13810,1204.1773238082149,18793.083333333332,20,3841
2025-04-17,15078.041666666666,17008,13661,899.9557708536313,17523.333333333332,7,3347
2025-04-18,13972.958333333334,15372,12579,859.9872839892392,17398.0,12,2793
2025-04-19,13720.083333333334,14845,11758,1154.663019415534,17163.041666666668,11,3087
2025-04-20,13269.291666666666,14842,12228,717.3661656223479,16333.791666666666,20,2614
2025-04-21,14784.916666666666,16250,12230,1463.3432512621541,18407.791666666668,20,4020
2025-04-22,14631.333333333334,16409,12576,1142.5365626978646,17688.208333333332,20,3833
2025-04-23,14574.958333333334,16385,12831,1047.9252578378362,17447.208333333332,20,3554
2025-04-24,14744.416666666666,16312,12468,1206.1207638961575,17849.25,20,3844
2025-04-25,14579.208333333334,16237,12451,1179.8580599659722,18106.375,20,3786
2025-04-26,14099.333333333334,15742,12024,1260.088011648969,18027.458333333332,20,3718
2025-04-27,13372.458333333334,15295,12347,887.1214798028144,16292.333333333334,20,2948
2025-04-28,14286.75,15860,12540,1077.320316905511,17160.0,20,3320
2025-04-29,14434.708333333334,16481,11772,1519.397262623132,17381.791666666668,17,4709
2025-04-30,14571.583333333334,16264,12550,1170.0824912081562,17076.458333333332,20,3714
2025-05-01,14857.608695652174,16291,12249,1330.652121027008,16079.173913043478,16,4042
2025-05-02,14518.833333333334,15670,12522,1092.3726337722364,16429.375,21,3148
2025-05-03,13836.041666666666,15138,12156,1001.3848445448231,16161.166666666666,20,2982
2025-05-04,13347.458333333334,15502,11782,1164.5597406285146,16872.5,20,3720
2025-05-05,14501.0,16084,12003,1384.2108095291671,17139.208333333332,20,4081
2025-05-06,14672.708333333334,16262,12402,1236.5218568776822,17488.958333333332,20,3860
2025-05-07,14596.0,16311,12273,1336.1543454192,17914.5,20,4038
2025-05-08,14565.291666666666,16107,12339,1170.0880486812375,17835.541666666668,20,3768
2025-05-09,14418.125,15901,13041,899.1014022465645,18097.541666666668,20,2860
2025-05-10,13366.708333333334,14623,12366,690.0109311778525,17369.375,21,2257
2025-05-11,13061.833333333334,15090,11699,1010.5361326357016,16941.5,21,3391
2025-05-12,14644.0,16866,12026,1535.1626737198274,17853.25,19,4840
2025-05-13,14836.708333333334,16839,12311,1482.6439509015406,18710.541666666668,20,4528
2025-05-14,15102.375,16902,12580,1523.477595403245,18954.625,17,4322
2025-05-15,15478.166666666666,17674,12679,1699.7092504990032,19055.666666666668,19,4995
2025-05-16,15779.333333333334,18153,12896,1778.0501696513245,18988.666666666668,19,5257
2025-05-17,14069.625,15272,12423,1063.2806007209792,17617.958333333332,17,2849
2025-05-18,13391.666666666666,14717,11635,1071.5430834596168,16781.25,19,3082
2025-05-19,13171.916666666666,15267,11839,1038.287256753271,16677.791666666668,21,3428
2025-05-20,14161.75,15707,11900,1197.1718575550203,17765.0,21,3807
2025-05-21,14887.708333333334,16768,12062,1598.8068507529283,17854.083333333332,20,4706
2025-05-22,15236.166666666666,16630,12682,1435.2960811552819,17506.958333333332,20,3948
2025-05-23,14917.333333333334,16188,12849,1176.7622000057272,17928.291666666668,20,3339
2025-05-24,13935.791666666666,14980,12593,835.5290944985844,17123.5,19,2387
2025-05-25,13531.666666666666,15234,12131,972.5703133926883,16333.5,21,3103
2025-05-26,14521.583333333334,16252,12368,1281.946241722587,16069.625,20,3884
2025-05-27,14592.75,16398,12287,1400.7251926118088,16852.416666666668,20,4111
2025-05-28,14707.666666666666,16660,12001,1527.5333246679152,17219.666666666668,20,4659
2025-05-29,14893.708333333334,16301,12647,1331.3609734653733,17317.708333333332,20,3654
2025-05-30,14641.708333333334,16455,12134,1398.294255253651,16915.75,17,4321
2025-05-31,13264.125,14462,11600,965.706783859005,16684.208333333332,20,2862
2025-06-01,13094.916666666666,15134,11536,1139.4744752341524,15841.583333333334,21,3598
2025-06-02,14210.75,16226,12029,1341.748089166745,16789.375,19,4197
2025-06-03,14773.041666666666,17267,11768,1837.690835500916,18092.333333333332,18,5499
2025-06-04,16381.666666666666,19910,12238,2583.5853023449313,19085.583333333332,17,7672
2025-06-05,15841.25,17465,13334,1438.5682269111403,18121.208333333332,18,4131
2025-06-06,15527.791666666666,17743,12466,1814.7586252043611,18404.041666666668,17,5277
2025-06-07,14613.25,17240,12155,1702.5299652601395,17212.583333333332,18,5085
2025-06-08,14002.708333333334,16628,11568,1715.9753844177185,16778.875,18,5060
2025-06-09,15433.625,17572,12285,1813.0194083351673,17923.458333333332,18,5287
2025-06-10,15061.333333333334,16939,12635,1440.3177386971931,17456.625,19,4304
2025-06-11,15690.833333333334,18869,12300,2164.5711828898357,18504.125,19,6569
2025-06-12,15549.791666666666,17934,13060,1592.0918145680214,18099.75,18,4874
2025-06-13,14858.291666666666,16495,12652,1276.716967686929,17604.25,17,3843
2025-06-14,14045.333333333334,16122,12226,1259.4254268503157,16421.75,19,3896
2025-06-15,14430.291666666666,17214,11939,1857.1134094555744,16580.916666666668,19,5275
2025-06-16,16575.0,20065,12652,2581.2351104950076,18631.666666666668,18,7413
2025-06-17,17433.625,20833,13466,2556.0344764038728,19941.875,18,7367
2025-06-18,18240.833333333332,20528,14432,2246.4407532741698,20429.208333333332,13,6096
2025-06-19,16674.625,18365,14072,1557.161012380627,19535.958333333332,13,4293
2025-06-20,16187.416666666666,18764,12859,2038.3689540300659,18697.0,18,5905
2025-06-21,16169.875,18777,12870,2151.85706072281,18506.875,19,5907
2025-06-22,19292.708333333332,23045,14219,3374.3631473749706,21112.333333333332,19,8826
2025-06-23,21623.375,24712,16544,2980.6076096705665,23726.166666666668,19,8168
2025-06-24,21924.958333333332,24862,17391,2679.8821758520025,23802.333333333332,19,7471
2025-06-25,20020.5,22693,16722,2034.8990787922528,22439.458333333332,17,5971
2025-06-26,16754.541666666668,18060,14329,1113.2233644053529,20108.0,12,3731
2025-06-27,16949.416666666668,20251,13146,2403.0255370852938,20195.375,18,7105
2025-06-28,16824.708333333332,18966,14253,1817.125955270806,19197.083333333332,18,4713
2025-06-29,16195.916666666666,20352,12582,2672.2163560653526,18397.666666666668,19,7770
2025-06-30,17128.666666666668,19565,13264,2366.290210924863,19330.25,13,6301
2025-07-01,17889.791666666668,21018,14156,2461.5313716953883,20216.458333333332,18,6862
2025-07-02,18406.416666666668,21901,13770,2931.9624666419413,20274.708333333332,17,8131
2025-07-03,17490.75,20291,14230,2017.136999292078,19450.666666666668,18,6061
2025-07-04,16763.916666666668,20495,13131,2448.862378590385,18471.875,18,7364
2025-07-05,17984.708333333332,22019,13225,3199.4836061487313,19923.291666666668,18,8794
2025-07-06,19425.333333333332,22740,14680,2957.8773332984215,21216.958333333332,19,8060
2025-07-07,19605.208333333332,21832,16641,1903.4918708878772,22051.541666666668,15,5191
2025-07-08,18145.041666666668,21263,14642,2217.3613084252743,20827.708333333332,19,6621
2025-07-09,18195.333333333332,21727,14302,2418.650623918161,20062.416666666668,17,7425
2025-07-10,19043.291666666668,22884,14316,2988.2332060668505,20288.458333333332,17,8568
2025-07-11,19432.833333333332,22481,14884,2737.5346520207722,20778.125,18,7597
2025-07-12,19643.958333333332,22837,15213,2795.1728495851485,21324.458333333332,18,7624
2025-07-13,19490.333333333332,22918,15793,2464.5972713903857,20550.291666666668,18,7125
2025-07-14,19510.625,22914,15149,2735.2250811524113,20708.0,17,7765
2025-07-15,19872.25,23261,14941,3075.3634249714587,21314.0,17,8320
2025-07-16,20439.208333333332,23611,15292,3009.405906691864,22251.0,15,8319
2025-07-17,18966.083333333332,21217,14829,1916.8622212778673,21906.25,14,6388
2025-07-18,16232.166666666666,19204,13137,1982.624450102673,19300.083333333332,19,6067
2025-07-19,16088.0,19450,12729,2321.228479097633,19017.291666666668,17,6721
2025-07-20,16946.208333333332,20177,13764,2259.698882963539,19618.208333333332,18,6413
2025-07-21,16404.208333333332,19582,13253,2022.5405672110728,19071.958333333332,18,6329
2025-07-22,16571.416666666668,19907,12905,2344.2435864802155,18995.583333333332,18,7002
2025-07-23,17731.291666666668,22095,13338,2958.9637651390362,19768.125,18,8757
2025-07-24,19939.75,24528,14005,3769.7239346506863,22264.208333333332,19,10523
2025-07-25,20082.583333333332,23055,16410,2432.4802678795118,22215.041666666668,17,6645
2025-07-26,18632.541666666668,21911,14548,2689.191327925258,20094.958333333332,15,7363
2025-07-27,19553.75,23347,15323,2951.6795845018864,20516.625,18,8024
2025-07-28,20808.541666666668,24211,15706,3129.1085545270703,22181.833333333332,16,8505
2025-07-29,20724.291666666668,23607,16639,2538.7128453670935,22009.375,18,6968
2025-07-30,19739.333333333332,23048,15913,2561.3128540324556,21680.333333333332,15,7135
2025-07-31,16829.25,19080,14278,1568.474702156317,19851.583333333332,17,4802
2025-08-01,16165.083333333334,18689,13216,1854.9152076405628,18614.791666666668,19,5473
2025-08-02,15549.625,18854,12660,2111.469564740654,17543.708333333332,18,6194
2025-08-03,16140.25,19854,12602,2571.3283532057903,17787.958333333332,18,7252
2025-08-04,16905.083333333332,20900,13121,2771.876666380234,18647.916666666668,17,7779
2025-08-05,18426.708333333332,22514,13812,2971.254872932906,19932.166666666668,18,8702
2025-08-06,18719.875,22638,14453,2828.020437053328,20259.0,17,8185
2025-08-07,19038.041666666668,22703,14771,2763.285276609626,20301.458333333332,17,7932
2025-08-08,19273.708333333332,22643,14756,2820.329929499717,20618.666666666668,16,7887
2025-08-09,19473.708333333332,23248,14810,3173.8389931926517,20904.375,18,8438
2025-08-10,20027.583333333332,24063,15092,3299.3907463502196,21174.083333333332,18,8971
2025-08-11,21275.125,24789,16089,3160.825928284098,22338.125,18,8700
2025-08-12,21274.75,24006,17087,2542.437468770607,22268.25,13,6919
2025-08-13,20333.291666666668,23843,16681,2484.2046488401147,21466.833333333332,17,7162
2025-08-14,19179.625,22949,14950,2781.7492277889373,20483.25,18,7999
2025-08-15,19167.583333333332,23257,14654,2981.8800156170314,20588.958333333332,17,8603
2025-08-16,18977.958333333332,23079,14550,3088.9225851935557,20200.791666666668,18,8529
2025-08-17,17224.083333333332,19103,14430,1446.5779384063821,20070.25,18,4673
2025-08-18,16009.875,18932,12834,1940.5135427980415,19066.583333333332,17,6098
2025-08-19,16349.416666666666,18418,13283,1841.3617106031509,19001.541666666668,17,5135
2025-08-20,16477.375,18222,13876,1482.376376911777,18915.291666666668,20,4346
